id,node,capacity (MW),offer ($/MW),type
A3991_1,North,0.0999999999999943,99.0,flexible
A3995_0,North,28.0,23.93,inflexible
A3995_1,North,3.0,23.97,inflexible
A3995_2,North,3.0,24.0,inflexible
A3995_3,North,9.0,24.11,inflexible
A3995_4,North,2.0,24.13,inflexible
A3995_5,North,1.0,24.15,inflexible
A3995_6,North,2.0,24.17,inflexible
A3995_7,North,4.0,24.22,inflexible
A3996_0,North,38.0,24.48,inflexible
A3996_1,North,4.0,24.53,inflexible
A3996_2,North,4.0,24.59,inflexible
A3996_3,North,17.0,24.82,inflexible
A3996_4,North,2.0,24.85,inflexible
A3996_5,North,2.0,24.87,inflexible
A3996_6,North,3.0,24.91,inflexible
A3996_7,North,3.0,24.95,inflexible
A3997_0,North,6.0,155.24,flexible
A3997_1,North,3.0,162.99,flexible
A3997_2,North,3.0,170.74,flexible
A3997_3,North,3.0,178.49,flexible
A3997_4,North,3.0,186.24,flexible
A3997_5,North,3.0,193.99,flexible
A3997_6,North,3.0,201.74,flexible
A3997_7,North,2.0,206.91,flexible
A3998_0,North,6.0,162.22,flexible
A3998_1,North,3.0,167.12,flexible
A3998_2,North,3.0,172.02,flexible
A3998_3,North,3.0,176.92,flexible
A3998_4,North,3.0,181.82,flexible
A3998_5,North,3.0,186.71,flexible
A3998_6,North,3.0,191.61,flexible
A3998_7,North,2.0,194.88,flexible
A4001_0,North,15.0,10.54,inflexible
A4001_1,North,4.0,10.58,inflexible
A4001_2,North,4.0,10.61,inflexible
A4001_3,North,4.0,10.65,inflexible
A4001_4,North,4.0,10.69,inflexible
A4001_5,North,4.0,10.72,inflexible
A4001_6,North,4.0,10.76,inflexible
A4001_7,North,5.0,10.8,inflexible
A4001_8,North,5.0,10.85,inflexible
A4010_0,Central,180.0,16.95,inflexible
A4010_1,Central,10.0,17.12,inflexible
A4010_2,Central,10.0,17.55,inflexible
A4010_3,Central,10.0,18.1,inflexible
A4011_0,Central,267.7,16.83,inflexible
A4011_1,Central,17.69999999999999,16.86,inflexible
A4011_2,Central,17.700000000000045,17.06,inflexible
A4011_3,Central,17.69999999999999,17.37,inflexible
A4011_4,Central,17.69999999999999,17.8,inflexible
A4011_5,Central,17.69999999999999,18.36,inflexible
A4011_6,Central,17.69999999999999,19.03,inflexible
A4011_7,Central,17.700000000000045,19.82,inflexible
A4013_0,Central,386.5,19.01,inflexible
A4013_1,Central,33.30000000000001,19.3,inflexible
A4013_2,Central,33.30000000000001,20.07,inflexible
A4013_3,Central,33.299999999999955,21.05,inflexible
A4014,Central,12.5,104.24,flexible
A4017,Central,200.0,0.0,wind
A4019,North,200.0,0.0,wind
A4022_0,North,35.0,20.5,inflexible
A4022_1,North,10.0,22.3,inflexible
A4022_2,North,10.0,24.1,inflexible
A4022_3,North,10.0,25.9,inflexible
A4022_4,North,10.0,27.7,inflexible
A4022_5,North,10.0,29.5,inflexible
A4022_6,North,10.0,31.3,inflexible
A4022_7,North,10.0,33.09,inflexible
A4022_8,North,5.0,33.99,inflexible
A4024_0,Central,60.0,19.7,inflexible
A4024_1,Central,3.0,20.07,inflexible
A4024_2,Central,3.0,20.43,inflexible
A4024_3,Central,3.0,20.8,inflexible
A4024_4,Central,3.0,21.17,inflexible
A4024_5,Central,3.0,21.54,inflexible
A4024_6,Central,3.0,21.9,inflexible
